# https://www.c2csports.com/sports/wbkb/2021-22/players?pos=bt
rk	name	 	gp	gs	min	off	def	reb	pf	dq	ast	to	a/to	stl	blk
1	K Otlowski	Salisbury	27	27	760	77	176	253	69	2	53	48	1.1	46	33
2	S Fan	Chris. Newport	26	26	533	19	41	60	37	0	56	40	1.4	61	4
3	A Simmons	Chris. Newport	27	26	524	68	63	131	56	0	37	60	0.6	53	25
4	A Kowack	UC Santa Cruz	20	20	656	22	70	92	32	0	35	33	1.1	26	12
5	B Froberg	Finlandia	22	22	562	14	65	79	51	2	35	53	0.7	27	4
6	K Lundeen	Finlandia	22	22	546	56	82	138	26	0	19	29	0.7	24	13
7	L Fortescue	Salisbury	27	27	785	40	71	111	42	0	86	58	1.5	66	2
8	K O'Connor	Pratt	16	16	576	139	155	294	45	0	24	74	0.3	23	11
9	K Murphy	UC Santa Cruz	20	20	626	75	190	265	58	2	90	68	1.3	39	34
10	T Martin	Mary Washington	27	27	721	17	72	89	66	2	34	67	0.5	19	21
11	T Campbell	Mount Mary	17	17	594	7	64	71	24	0	43	69	0.6	34	4
12	K Schwab	Mary Washington	27	26	696	31	93	124	63	2	44	67	0.7	16	22
13	J Carpenter	Mary Washington	27	26	652	116	146	262	65	1	27	46	0.6	27	29
14	K Grant	Pratt	18	17	631	35	75	110	43	2	59	76	0.8	31	1
15	N Terwilliger	Chris. Newport	23	23	424	52	97	149	52	1	16	21	0.8	22	45
16	A Inserra	UC Santa Cruz	20	20	645	58	79	137	55	2	25	30	0.8	26	2
17	A Martin	Mary Washington	26	19	660	32	87	119	70	1	55	61	0.9	37	9
18	K Webb	Salisbury	27	27	688	23	42	65	25	0	37	28	1.3	31	0
19	B Harper	Mary Washington	27	5	457	9	23	32	25	0	23	35	0.7	10	3
20	T Oakley-Stilson	UC Santa Cruz	20	19	544	27	40	67	48	3	35	32	1.1	27	1
20	G San diego	Chris. Newport	26	25	550	9	30	39	28	0	104	39	2.7	41	0
22	P McInnis	Chris. Newport	26	26	561	19	38	57	21	0	46	24	1.9	31	0
23	J Welbon	Salisbury	27	27	788	20	49	69	49	0	76	37	2.1	65	2
24	H Kaloi	Chris. Newport	27	0	307	22	54	76	37	0	9	15	0.6	15	8
25	S Bischoff	Pratt	19	18	494	29	95	124	62	4	9	39	0.2	9	42
26	B Duke	Mount Mary	13	11	452	14	84	98	35	0	48	93	0.5	37	1
26	N Graf	Pratt	19	19	670	26	86	112	48	3	35	80	0.4	18	1
28	A Wagner	UC Santa Cruz	18	17	537	21	34	55	57	2	77	53	1.5	47	10
29	J Winkey	Chris. Newport	27	1	470	26	29	55	33	0	50	25	2.0	37	1
30	A Wilkinson	Salisbury	25	0	375	18	36	54	34	0	32	52	0.6	17	3
31	C Osterman	Finlandia	22	22	646	31	111	142	64	3	134	90	1.5	54	7
32	J Foster	Chris. Newport	26	1	431	5	28	33	14	0	63	34	1.9	21	1
33	H Ader	Salisbury	26	5	410	33	39	72	38	0	19	32	0.6	7	6
34	E Dilger	Salisbury	22	17	435	45	59	104	38	0	29	36	0.8	20	13
34	M Rice	Finlandia	22	-	408	40	47	87	38	0	23	28	0.8	29	2
36	K Rader	Chris. Newport	27	0	355	27	18	45	43	0	32	38	0.8	38	12
37	M Austin	Finlandia	22	17	439	14	38	52	35	0	17	36	0.5	28	0
38	A Giles	Chris. Newport	26	0	233	31	43	74	36	1	6	20	0.3	22	7
39	M Sharman	Mary Washington	27	12	481	16	31	47	48	0	35	43	0.8	14	3
40	M Baxter	Mary Washington	27	14	440	5	44	49	52	0	26	73	0.4	22	2
40	A Burrows	Salisbury	25	4	395	16	34	50	35	0	18	21	0.9	9	0
42	H Orloff	Chris. Newport	22	0	195	29	33	62	37	1	4	23	0.2	14	21
43	S Sherman	Mary Washington	27	0	332	30	61	91	35	1	12	24	0.5	5	12
44	M Jahfetson	Finlandia	22	1	347	14	37	51	40	0	22	32	0.7	19	3
45	B Jashinsky	Mount Mary	13	7	380	9	35	44	23	0	4	31	0.1	7	1
45	C Ryynanen	Finlandia	20	-	261	21	35	56	46	1	11	26	0.4	9	13
47	J Ng	Chris. Newport	26	4	373	39	72	111	35	0	21	20	1.1	21	9
48	K Loman	Finlandia	21	16	427	30	26	56	49	1	59	41	1.4	38	1
49	H Froberg	Finlandia	11	10	263	7	58	65	21	0	17	19	0.9	10	5
50	B Dalgord	Finlandia	15	-	192	12	29	41	5	0	13	16	0.8	6	1
