# https://www.c2csports.com/sports/wbkb/2021-22/players?pos=st
rk 	name	team	gp 	gs 	min 	fg 	pct 	3pt 	pct 	ft 	pct 	pts
1 	K Otlowski 	Salisbury 	27 	27 	760 	165-332 	49.7 	0-4 	0.0 	56-78 	71.8 	386
2 	S Fan 	Chris. Newport 	26 	26 	533 	137-274 	50.0 	64-147 	43.5 	45-58 	77.6 	383
3 	A Simmons 	Chris. Newport 	27 	26 	524 	152-237 	64.1 	0-2 	0.0 	64-124 	51.6 	368
4 	A Kowack 	UC Santa Cruz 	20 	20 	656 	129-354 	36.4 	46-171 	26.9 	52-74 	70.3 	356
5 	B Froberg 	Finlandia 	22 	22 	562 	113-266 	42.5 	47-130 	36.2 	71-91 	78.0 	344
6 	K Lundeen 	Finlandia 	22 	22 	546 	128-232 	55.2 	0-3 	0.0 	81-92 	88.0 	337
7 	L Fortescue 	Salisbury 	27 	27 	785 	109-303 	36.0 	30-104 	28.8 	79-115 	68.7 	327
8 	K O'Connor 	Pratt 	16 	16 	576 	117-265 	44.2 	0-4 	0.0 	81-114 	71.1 	315
9 	K Murphy 	UC Santa Cruz 	20 	20 	626 	112-244 	45.9 	1-5 	20.0 	79-107 	73.8 	304
10 	T Martin 	Mary Washington 	27 	27 	721 	108-238 	45.4 	6-26 	23.1 	53-74 	71.6 	275
11 	T Campbell 	Mount Mary 	17 	17 	594 	100-287 	34.8 	26-125 	20.8 	30-47 	63.8 	256
12 	K Schwab 	Mary Washington 	27 	26 	696 	86-236 	36.4 	26-86 	30.2 	56-80 	70.0 	254
13 	J Carpenter 	Mary Washington 	27 	26 	652 	91-178 	51.1 	0-0 	- 	66-103 	64.1 	248
14 	K Grant 	Pratt 	18 	17 	631 	85-265 	32.1 	6-24 	25.0 	66-101 	65.3 	242
15 	N Terwilliger 	Chris. Newport 	23 	23 	424 	104-220 	47.3 	15-56 	26.8 	16-21 	76.2 	239
16 	A Inserra 	UC Santa Cruz 	20 	20 	645 	85-190 	44.7 	48-111 	43.2 	14-21 	66.7 	232
17 	A Martin 	Mary Washington 	26 	19 	660 	79-174 	45.4 	9-31 	29.0 	63-90 	70.0 	230
18 	K Webb 	Salisbury 	27 	27 	688 	69-170 	40.6 	38-108 	35.2 	22-41 	53.7 	198
19 	B Harper 	Mary Washington 	27 	5 	457 	62-156 	39.7 	35-87 	40.2 	27-35 	77.1 	186
20 	T Oakley-Stilson 	UC Santa Cruz 	20 	19 	544 	59-125 	47.2 	6-20 	30.0 	55-64 	85.9 	179
20 	G San diego 	Chris. Newport 	26 	25 	550 	62-143 	43.4 	17-47 	36.2 	38-44 	86.4 	179
22 	P McInnis 	Chris. Newport 	26 	26 	561 	60-160 	37.5 	44-123 	35.8 	11-13 	84.6 	175
23 	J Welbon 	Salisbury 	27 	27 	788 	62-176 	35.2 	18-59 	30.5 	31-41 	75.6 	173
24 	H Kaloi 	Chris. Newport 	27 	0 	307 	67-139 	48.2 	4-25 	16.0 	25-36 	69.4 	163
25 	S Bischoff 	Pratt 	19 	18 	494 	68-181 	37.6 	0-0 	- 	20-33 	60.6 	156
