Name,Sex
Aamir,B
Aaron,B
Abbey,B
Abbie,B
Abbot,B
Abbott,B
Abby,B
Abdel,B
Abdul,B
Abdulkarim,B
Abdullah,B
Abe,B
Abel,B
Abelard,B
Abner,B
Abraham,B
Abram,B
Ace,B
Adair,B
Adam,B
Adams,B
Addie,B
Adger,B
Aditya,B
Adlai,B
Adnan,B
Adolf,B
Adolfo,B
Adolph,B
Adolphe,B
Adolpho,B
Adolphus,B
Adrian,B
Adrick,B
Adrien,B
Agamemnon,B
Aguinaldo,B
Aguste,B
Agustin,B
Aharon,B
Ahmad,B
Ahmed,B
Ahmet,B
Ajai,B
Ajay,B
Al,B
Alaa,B
Alain,B
Alan,B
Alasdair,B
Alastair,B
Albatros,B
Albert,B
Alberto,B
Albrecht,B
Alden,B
Aldis,B
Aldo,B
Aldric,B
Aldrich,B
Aldus,B
Aldwin,B
Alec,B
Aleck,B
Alejandro,B
Aleks,B
Aleksandrs,B
Alessandro,B
Alex,B
Alexander,B
Alexei,B
Alexis,B
Alf,B
Alfie,B
Alfonse,B
Alfonso,B
Alfonzo,B
Alford,B
Alfred,B
Alfredo,B
Algernon,B
Ali,B
Alic,B
Alister,B
Alix,B
Allah,B
Allan,B
Allen,B
Alley,B
Allie,B
Allin,B
Allyn,B
Alonso,B
Alonzo,B
Aloysius,B
Alphonse,B
Alphonso,B
Alston,B
Alton,B
Alvin,B
Alwin,B
Amadeus,B
Ambros,B
Ambrose,B
Ambrosi,B
Ambrosio,B
Ambrosius,B
Amery,B
Amory,B
Amos,B
Anatol,B
Anatole,B
Anatollo,B
Anatoly,B
Anders,B
Andie,B
Andonis,B
Andre,B
Andrea,B
Andreas,B
Andrej,B
Andres,B
Andrew,B
Andrey,B
Andri,B
Andros,B
Andrus,B
Andrzej,B
Andy,B
Angel,B
Angelico,B
Angelo,B
Angie,B
Angus,B
Ansel,B
Ansell,B
Anselm,B
Anson,B
Anthony,B
Antin,B
Antoine,B
Anton,B
Antone,B
Antoni,B
Antonin,B
Antonino,B
Antonio,B
Antonius,B
Antony,B
Anurag,B
Apollo,B
Apostolos,B
Aram,B
Archibald,B
Archibold,B
Archie,B
Archon,B
Archy,B
Arel,B
Ari,B
Arie,B
Ariel,B
Aristotle,B
Arlo,B
Armand,B
Armando,B
Armond,B
Armstrong,B
Arne,B
Arnie,B
Arnold,B
Arnoldo,B
Aron,B
Arron,B
Art,B
Arther,B
Arthur,B
Artie,B
Artur,B
Arturo,B
Arvie,B
Arvin,B
Arvind,B
Arvy,B
Ash,B
Ashby,B
Ashish,B
Ashley,B
Ashton,B
Aub,B
Aube,B
Aubert,B
Aubrey,B
Augie,B
August,B
Augustin,B
Augustine,B
Augusto,B
Augustus,B
Austen,B
Austin,B
Ave,B
Averell,B
Averil,B
Averill,B
Avery,B
Avi,B
Avraham,B
Avram,B
Avrom,B
Axel,B
Aylmer,B
Aziz,B
Bailey,B
Bailie,B
Baillie,B
Baily,B
Baird,B
Baldwin,B
Bancroft,B
Barbabas,B
Barclay,B
Bard,B
Barde,B
Barn,B
