face,demeanor,game,height,lightsaber,type
clean,calm,monopoly,63.9,red,Sith
clean,menacing,clue,77.16,red,Sith
beard,calm,chutes,65.45,green,Jedi
clean,calm,chutes,70.07,red,Sith
clean,calm,chutes,74.48,red,Sith
clean,menacing,clue,78.22,red,Sith
clean,calm,clue,66.2,red,Sith
clean,calm,chutes,72.89,red,Sith
clean,menacing,monopoly,72.43,green,Sith
clean,menacing,clue,65.35,red,Sith
clean,calm,chutes,75.06,red,Sith
beard,calm,monopoly,69.09,green,Jedi
clean,calm,clue,70.85,red,Sith
beard,calm,clue,46.15,blue,Jedi
clean,menacing,chutes,72.02,blue,Sith
clean,calm,chutes,68.96,red,Sith
beard,calm,clue,68.18,green,Jedi
beard,calm,chutes,54.64,blue,Jedi
clean,menacing,chutes,70.65,red,Sith
beard,menacing,chutes,71.25,red,Sith
clean,menacing,chutes,67.78,red,Sith
clean,menacing,clue,66.37,red,Sith
clean,menacing,monopoly,73.04,red,Sith
clean,menacing,monopoly,69.2,red,Sith
clean,menacing,clue,70.34,red,Sith
clean,calm,clue,76.16,red,Sith
clean,menacing,monopoly,81.18,green,Sith
beard,calm,clue,46.61,green,Jedi
clean,menacing,chutes,59.32,red,Sith
beard,calm,monopoly,70.81,green,Jedi
clean,calm,monopoly,71.49,red,Sith
clean,calm,clue,70.9,blue,Sith
clean,menacing,monopoly,66.08,red,Sith
clean,calm,chutes,72.83,red,Sith
clean,calm,chutes,61.51,red,Sith
clean,menacing,chutes,72.95,red,Sith
clean,menacing,monopoly,86.06,red,Sith
clean,calm,clue,75.54,red,Sith
beard,menacing,chutes,86.76,green,Jedi
beard,calm,monopoly,61.17,blue,Jedi
beard,calm,monopoly,64.98,blue,Jedi
clean,calm,chutes,68.62,red,Sith
clean,menacing,chutes,62.58,green,Jedi
clean,calm,monopoly,64.34,red,Sith
clean,calm,chutes,73.73,red,Sith
clean,calm,clue,69.79,green,Jedi
clean,menacing,chutes,75.85,blue,Sith
beard,menacing,monopoly,66.7,red,Sith
beard,calm,monopoly,62.43,green,Jedi
clean,calm,monopoly,74.01,blue,Sith
beard,calm,monopoly,78.88,blue,Jedi
beard,calm,monopoly,54.72,blue,Jedi
clean,calm,chutes,60.32,green,Jedi
